"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5570","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","7","1","1","3.920068","0","34"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","71","12","6","46.305595","0","400"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","10","2","1","5.628150","0","44"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","6","6","1","3.963133","0","11"
"/Interchange/gltf/M_Default.M_Default","0","159","34","6","202.535156","0","1094"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","6","2","1","3.705902","0","21"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","22","4","1","14.365557","0","126"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","10","6","1","5.677936","0","39"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","8","1","1","5.140654","0","34"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","159","36","6","211.069992","0","1173"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","7","7","1","4.079808","0","9"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","7","7","1","0.000000","0","9"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","31","7","1","19.169680","0","203"
"/Interchange/gltf/M_Sheen.M_Sheen","0","159","36","6","230.419968","0","1124"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","6","6","1","3.949051","0","7"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","11","1","1","2.519101","0","30"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","18","6","1","11.777856","0","79"
"/Interchange/gltf/M_Transmission.M_Transmission","0","58","7","2","418.784882","0","327"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","159","25","6","203.479797","0","1231"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","34","5","1","24.134304","0","264"
"/Game/Meshes/Workspace/WorkspaceMaterials/box4mat.box4mat","0","18","8","1","11.615510","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/box2mat.box2mat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/wall2mat.wall2mat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/screenlaptopmat.screenlaptopmat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/buckethookmat.buckethookmat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/MM_Workspace.MM_Workspace","0","18","8","1","0.000000","0","78"
"/Game/Materials/MM_Floor.MM_Floor","0","18","8","1","0.000000","0","78"
"/Game/Materials/MM_Walls.MM_Walls","0","18","8","1","0.000000","0","78"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/screenBigmat.screenBigmat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/ShelfMat.ShelfMat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/trashcanmat.trashcanmat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/box3mat.box3mat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/woodmat.woodmat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/latopmat.latopmat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/ladderrungmat.ladderrungmat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/bucketmat.bucketmat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/LadderMat.LadderMat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/box1mat.box1mat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/wallmat.wallmat","0","18","4","1","0.000000","0","86"
"/Game/Meshes/Workspace/WorkspaceMaterials/fridgehandlemat.fridgehandlemat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/screenMedmat.screenMedmat","0","18","8","1","0.000000","0","78"
"/Game/Meshes/Workspace/WorkspaceMaterials/floormat.floormat","0","18","8","1","0.000000","0","78"
"/Engine/VREditor/TransformGizmo/Main.Main","0","6","1","1","3.915203","0","20"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","6","6","1","4.035830","0","8"
"/Interchange/gltf/M_Unlit.M_Unlit","0","79","23","6","44.760143","0","393"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","40","3","1","17.666851","0","261"
"/Interchange/Materials/PBRSurfaceMaterial_MR.PBRSurfaceMaterial_MR","0","18","6","1","14.146079","0","99"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","98","4","1","98.151848","0","1535"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","66","9","1","65.209244","0","699"
"/Interchange/Materials/ClearCoatMaterial_MR.ClearCoatMaterial_MR","0","18","3","1","12.233412","0","48"
"/Interchange/Materials/SheenMaterial_MR.SheenMaterial_MR","0","18","6","1","11.974104","0","90"
"/Interchange/Materials/SubsurfaceMaterial_MR.SubsurfaceMaterial_MR","0","18","7","1","12.249226","0","60"
"/Interchange/Materials/ThinTranslucentMaterial_MR.ThinTranslucentMaterial_MR","0","26","3","1","135.493134","0","115"
"/Interchange/Materials/SheenMaterial_SG.SheenMaterial_SG","0","18","2","1","12.787188","0","91"
"/Interchange/Materials/PBRSurfaceMaterial_SG.PBRSurfaceMaterial_SG","0","18","5","1","12.429092","0","107"
"/Interchange/Materials/ClearCoatMaterial_SG.ClearCoatMaterial_SG","0","18","2","1","12.826199","0","101"
"/Interchange/Materials/SubsurfaceMaterial_SG.SubsurfaceMaterial_SG","0","18","5","1","13.767989","0","77"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","88","8","1","60.615795","0","1274"
"/Interchange/Materials/ThinTranslucentMaterial_SG.ThinTranslucentMaterial_SG","0","26","5","1","148.597565","0","153"
"/Game/Materials/NoMat.NoMat","0","18","5","1","11.384926","0","86"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","18","6","1","11.251987","0","116"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","0","19","3","1","14.882531","0","133"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","71","1","1","332.901398","0","1062"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","16","5","1","11.789602","0","79"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","18","6","1","11.234908","0","63"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","7","4","1","4.265044","0","19"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","56","14","2","38.928677","0","283"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","1","1","2.670432","0","24"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","3","1","2.638437","0","16"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","40","5","1","17.807119","0","198"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","36","1","1","23.287806","0","220"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","33","7","1","20.464001","0","203"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","42","6","1","26.984915","0","209"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","42","8","1","28.511112","0","577"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","42","8","1","0.000000","0","547"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","719","9","1","424.283997","0","37676"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","11","12","1","7.962344","0","16"
"/ControlRig/M_Manip.M_Manip","0","11","6","1","7.039129","0","45"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","1","1","2.872475","0","16"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","8","8","1","4.677751","0","8"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","7","7","1","4.130253","0","13"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","159","18","1","117.272827","0","1610"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","8","6","1","4.043225","0","23"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","102","40","1","76.319107","0","543"
"Globals","16","4843","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","16","4","1","1","28.545078","0","11"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","16","7","1","1","13.390745","0","36"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","16","3","1","1","6.334394","0","8"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","16","3","1","1","6.595135","0","8"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","16","18","11","1","131.166138","0","147"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","16","7","1","1","13.486334","0","36"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","16","5","1","1","9.403061","0","16"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","16","4","1","1","9.594409","0","13"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","16","27","1","1","72.177742","0","410"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","16","8","1","1","16.216114","0","46"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","16","12","1","1","25.264927","0","102"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","16","3","1","1","0.000000","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","16","26","1","1","53.946556","0","367"
"/Engine/VREditor/TransformGizmo/Xray.Xray","16","14","1","1","40.562721","0","113"
"/Engine/VREditor/TransformGizmo/Main.Main","16","3","1","1","6.213068","0","8"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","16","3","1","1","6.459508","0","8"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","16","36","7","1","217.175766","0","492"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","16","4","1","1","0.000000","0","13"
"/Game/Meshes/Workspace/WorkspaceMaterials/screenBigmat.screenBigmat","16","14","1","1","0.000000","0","113"
"/Game/Meshes/Workspace/WorkspaceMaterials/ShelfMat.ShelfMat","16","14","1","1","0.000000","0","113"
"/Game/Meshes/Workspace/WorkspaceMaterials/trashcanmat.trashcanmat","16","14","1","1","0.000000","0","113"
"/Game/Meshes/Workspace/WorkspaceMaterials/box3mat.box3mat","16","14","1","1","0.000000","0","113"
"/Game/Meshes/Workspace/WorkspaceMaterials/woodmat.woodmat","16","14","1","1","0.000000","0","113"
"/Game/Meshes/Workspace/WorkspaceMaterials/latopmat.latopmat","16","14","1","1","0.000000","0","113"
"/Game/Meshes/Workspace/WorkspaceMaterials/ladderrungmat.ladderrungmat","16","14","1","1","0.000000","0","113"
