"Name","Platform","Compiles","CompilesDouble","Uses","UsesDouble","PermutationString"
"Globals","0","5570","0","0","0",""
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","7","0","1","34","Compiling ControlRigGizmoMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","6","0","2","21","Compiling Widget3DPassThrough: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","7","0","1","19","Compiling Widget3DPassThrough: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","20","0","4","104","Compiling Widget3DPassThrough: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Masked, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=1, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","10","0","1","60","Compiling Widget3DPassThrough: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","8","0","1","43","Compiling Widget3DPassThrough: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","20","0","3","153","Compiling Widget3DPassThrough: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Masked, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=1, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","10","0","2","44","Compiling DebugEditorMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","6","0","6","11","Compiling PhAT_NoCollisionMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_Default.M_Default","0","33","0","4","245","Compiling M_Default: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Masked, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=1, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_Default.M_Default","0","26","0","5","210","Compiling M_Default: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_Default.M_Default","0","21","0","7","135","Compiling M_Default: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_Default.M_Default","0","28","0","6","155","Compiling M_Default: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_Default.M_Default","0","33","0","7","257","Compiling M_Default: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Masked, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=1, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_Default.M_Default","0","18","0","5","92","Compiling M_Default: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","6","0","2","21","Compiling PhAT_UnselectedMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","22","0","4","126","Compiling M_DynamicMeshComponentVtxColor: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","10","0","6","39","Compiling GizmoMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","8","0","1","34","Compiling DebugMeshMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","33","0","5","268","Compiling M_ClearCoat: Platform=PCD3D_SM5, Usage=LightingModel=MSM_ClearCoat, BlendMode=BLEND_Masked, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=1, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","26","0","7","173","Compiling M_ClearCoat: Platform=PCD3D_SM5, Usage=LightingModel=MSM_ClearCoat, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","21","0","6","107","Compiling M_ClearCoat: Platform=PCD3D_SM5, Usage=LightingModel=MSM_ClearCoat, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","33","0","5","254","Compiling M_ClearCoat: Platform=PCD3D_SM5, Usage=LightingModel=MSM_ClearCoat, BlendMode=BLEND_Masked, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=1, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","28","0","7","260","Compiling M_ClearCoat: Platform=PCD3D_SM5, Usage=LightingModel=MSM_ClearCoat, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","18","0","6","111","Compiling M_ClearCoat: Platform=PCD3D_SM5, Usage=LightingModel=MSM_ClearCoat, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","7","0","7","9","Compiling RemoveSurfaceMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithStaticLighting}"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","7","0","7","9","Compiling UnlitMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","31","0","7","203","Compiling NaniteHiddenSectionMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=1, Usage={}"
"/Interchange/gltf/M_Sheen.M_Sheen","0","33","0","7","302","Compiling M_Sheen: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Cloth, BlendMode=BLEND_Masked, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=1, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_Sheen.M_Sheen","0","26","0","6","156","Compiling M_Sheen: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Cloth, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_Sheen.M_Sheen","0","21","0","3","133","Compiling M_Sheen: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Cloth, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_Sheen.M_Sheen","0","33","0","11","240","Compiling M_Sheen: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Cloth, BlendMode=BLEND_Masked, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=1, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_Sheen.M_Sheen","0","28","0","3","162","Compiling M_Sheen: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Cloth, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Interchange/gltf/M_Sheen.M_Sheen","0","18","0","6","131","Compiling M_Sheen: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Cloth, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","6","0","6","7","Compiling M_SimpleUnlitTranslucent: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
